permno,date,nameendt,exchcd,ncusip,ticker,comnam,tsymbol,trdstat,secstat,permco,hsiccd,cusip,dlstcd,hsicmg,hsicig,acperm,accomp
75993,6/30/2005,,3,45872720,INLD,INTERLAND INC NEW,INLD,A,R,10311,3570,94732Q10,,,,,
10398,12/29/1989,,3,45872910,LEAF,INTERLEAF INC,LEAF,A,R,8318,7370,45872920,,,,,
44813,8/31/1987,,3,45874010,ILTO,INTERLEUKIN 2 INC,ILTO,A,R,6617,2836,15083760,,28,283,,
85564,6/30/2008,,2,45873810,ILI,INTERLEUKIN GENETICS INC,ILI,A,R,15860,8734,45873810,,87,873,,
87073,11/30/2001,,3,45874210,INIT,INTERLIANT INC,INIT,A,R,16639,7371,45874210,,,,,
90503,8/31/2012,,1,45874310,IBI,INTERLINE BRANDS INC,IBI,A,R,46022,5074,45874310,,,,,
79982,12/31/1993,7/11/1994,3,45874410,IRCO,INTERLINE RESOURCES CORP,IRCO,A,R,12700,6799,45874410,,,,,
83877,9/30/1998,,3,45874710,INLK,INTERLINK COMPUTER SCIENCES INC,INLK,A,R,14906,7370,45874710,,,,,
79280,10/31/2014,,0,45875110,,INTERLINK ELECTRONICS,,X,X,12178,3670,45875130,,,,,
79280,6/30/2017,,3,45875130,LINK,INTERLINK ELECTRONICS INC,LINK,A,R,12178,3670,45875130,,,,,
